Algorithms,LUIMiner,LUG-Miner
foodmart,167.11,12600.28
foodmart,159.292,12477.027
foodmart,165.303,13008.995
foodmart,170.409,11362.927
foodmart,167.838,11512.655
foodmart,164.411,11787.486
BMS,15.962,86400
BMS,28.098,86400
BMS,25.8,86400
BMS,27.758,86400
BMS,22.849,86400
BMS,21.763,86400
mushroom,139.716,86400
mushroom,168.979,86400
mushroom,176.041,86400
mushroom,208.408,86400
mushroom,259.518,86400
mushroom,329.98,86400
chess,103.263,86400
chess,253.096,86400
chess,556.245,86400
chess,1163.056,86400
chess,2541.615,86400
chess,5582.959,86400
retail,6854.736,86400
retail,8711.74,86400
retail,10934.854,86400
retail,12724.913,86400
retail,13972.664,86400
retail,18160.982,86400
ecommerce,244.07,86400
ecommerce,267.38,86400
ecommerce,314.664,86400
ecommerce,377.862,86400
ecommerce,425.951,86400
ecommerce,528.765,86400

